Roupa;Corpo;Clima;Parque;Restaurante;Praia;Mercado;Piscina;Esportes;Escola;Festa
biquini1.png;4;1;0;0;1;0;1;0;0;0
biquini2.png;4;1;0;0;1;0;1;0;0;0
biquini2.png;4;1;0;0;1;0;1;0;0;0
biquini3.png;4;1;0;0;1;0;1;0;0;0
biquini4.png;4;1;0;0;1;0;1;0;0;0
biquini5.png;4;1;0;0;1;0;1;0;0;0
biquini6.png;4;1;0;0;1;0;1;0;0;0
biquini7.png;4;1;0;0;1;0;1;0;0;0
biquini8.png;4;1;0;0;1;0;1;0;0;0
biquini9.png;4;1;0;0;1;0;1;0;0;0
biquini10.png;4;1;0;0;1;0;1;0;0;0
biquini11.png;4;1;0;0;1;0;1;0;0;0
calca1.png;2;2;1;1;0;1;0;1;1;1
calca2.png;2;2;1;1;0;1;0;0;1;1
calca3.png;2;2;1;1;0;1;0;0;1;1
calca4.png;2;2;1;1;0;1;0;1;1;1
calca5.png;2;2;1;1;0;1;0;1;1;1
calca6.png;2;2;1;1;0;1;0;1;1;1
calca7.png;2;2;1;1;0;1;0;1;1;1
calca8.png;2;2;1;1;0;1;0;0;1;1
calca9.png;2;2;1;1;0;1;0;0;1;1
calca11.png;2;2;1;1;0;1;0;0;1;1
calca12.png;2;2;1;1;0;1;0;0;1;1
calca13.png;2;2;1;1;0;1;0;0;1;1
calca14.png;2;2;1;1;0;1;0;0;1;1
calca15.png;2;2;1;1;0;1;0;1;1;1
calca16.png;2;2;1;1;0;1;0;0;1;1
calca19.png;2;2;1;1;0;1;0;1;1;1
calca20.png;2;2;1;1;0;1;0;0;1;1
calca21.png;2;2;1;1;0;1;0;0;1;1
calca22.png;2;2;1;1;0;1;0;0;1;1
calca23.png;2;2;1;1;0;1;0;0;1;1
calca24.png;2;2;1;1;0;1;0;0;1;1
calca25.png;2;2;1;1;0;1;0;0;1;1
calca26.png;2;2;1;1;0;1;0;1;1;1
calca27.png;2;2;1;1;0;1;0;0;1;1
calca28.png;2;2;1;1;0;1;0;0;1;1
calca29.png;2;2;1;1;0;1;0;0;1;1
calcao1.png;2;1;1;1;1;1;1;0;0;0
calcao2.png;2;1;1;1;0;1;0;0;1;1
calcao3.png;2;1;1;1;1;1;1;0;0;0
calcao4.png;2;1;1;1;0;1;0;0;0;1
calcao5.png;2;1;1;1;1;1;1;0;0;0
calcao6.png;2;1;1;1;0;1;0;0;1;1
calcao7.png;2;1;1;1;0;1;0;0;0;0
calcao8.png;2;1;1;1;0;1;0;0;1;1
calcao9.png;2;1;1;1;0;1;0;0;0;1
calcao10.png;2;1;1;1;0;1;0;0;1;1
calcao11.png;2;1;1;1;0;1;0;0;1;1
calcao12.png;2;1;1;0;0;0;0;1;0;0
calcao13.png;2;1;1;1;0;1;0;0;0;1
calcao14.png;2;1;1;1;0;1;0;0;1;1
calcao15.png;2;1;1;1;0;1;0;0;1;1
calcao16.png;2;1;1;1;1;1;1;0;0;0
calcao17.png;2;1;1;1;0;1;0;0;0;1
calcao18.png;2;1;1;1;1;1;1;0;0;0
calcao19.png;2;1;1;1;1;1;1;0;0;0
calcao20.png;2;1;1;0;0;0;0;1;0;0
calcao21.png;2;1;1;1;0;1;0;0;1;1
camisa1.png;1;2;0;1;0;1;0;0;0;0
camisa2.png;1;2;1;1;0;1;0;0;1;1
camisa3.png;1;1;1;1;0;1;0;0;0;0
camisa4.png;1;3;0;0;0;0;0;1;0;0
camisa5.png;1;2;0;0;0;0;0;1;0;0
camisa6.png;1;1;1;1;0;1;0;0;0;1
camisa7.png;1;1;1;1;0;1;0;0;0;1
camisa8.png;1;1;1;1;0;1;0;0;0;1
camisa9.png;1;1;1;1;0;1;0;0;0;1
camisa10.png;1;2;1;1;0;1;0;0;0;1
camisa11.png;1;1;1;1;0;1;0;0;0;1
camisa12.png;1;1;1;1;0;1;0;0;0;1
camisa13.png;1;1;1;1;0;1;0;0;0;1
camisa15.png;1;2;0;1;0;0;0;0;0;1
