ID,Sessao,Hora do Evento,Fase,Nivel,Posicao jogador,Posicao Evento,Tipo de Evento
0,1,14:21:00,2,1,1,2,Criou Obstaculo
1,1,14:21:00,2,1,0,1,Trocou de Pista
2,1,14:21:08,2,1,0,1,Criou Obstaculo
3,1,14:21:13,2,1,-1,0,Saiu da area do jogo
4,1,14:21:18,2,1,0,2,Criou Obstaculo
5,1,14:21:18,2,1,-1,0,Saiu da area do jogo
6,1,14:21:23,2,1,1,2,Desviou de Obstaculo
7,1,14:21:25,2,1,1,0,Trocou de Pista
8,1,14:21:25,2,1,0,1,Trocou de Pista
9,1,14:21:25,2,1,1,0,Trocou de Pista
10,1,14:21:26,2,1,1,1,Criou Obstaculo
11,1,14:21:27,2,1,0,1,Trocou de Pista
12,1,14:21:27,2,1,1,1,Colidiu com Obstaculo
13,1,14:21:33,2,1,1,2,Desviou de Obstaculo
14,1,14:21:34,2,1,0,2,Criou Obstaculo
15,1,14:21:39,2,1,-1,0,Saiu da area do jogo
16,1,14:21:42,2,1,1,1,Colidiu com Obstaculo
17,1,14:21:42,2,1,0,1,Criou Obstaculo
18,1,14:21:50,2,1,0,2,Criou Obstaculo
19,1,14:21:50,2,1,1,2,Desviou de Obstaculo
20,1,14:21:53,2,1,1,0,Trocou de Pista
21,1,14:21:54,2,1,0,1,Trocou de Pista
22,1,14:21:56,2,1,-1,0,Saiu da area do jogo
23,1,14:22:01,2,1,0,1,Criou Obstaculo
24,1,14:22:01,2,1,-1,0,Saiu da area do jogo
25,1,14:22:02,2,1,1,1,Desviou de Obstaculo
26,1,14:22:09,2,1,0,2,Criou Obstaculo
27,1,14:22:10,2,1,1,2,Desviou de Obstaculo
28,1,14:22:11,2,1,1,0,Trocou de Pista
29,1,14:22:13,2,1,0,1,Trocou de Pista
30,1,14:22:15,2,1,1,1,Colidiu com Obstaculo
31,1,14:22:17,2,1,0,1,Criou Obstaculo
32,1,14:22:23,2,1,1,2,Desviou de Obstaculo
33,1,14:22:25,2,1,0,0,Criou Obstaculo
34,1,14:22:25,2,1,1,0,Trocou de Pista
35,1,14:22:29,2,1,0,1,Trocou de Pista
36,1,14:22:29,2,1,1,0,Trocou de Pista
37,1,14:22:31,2,1,1,1,Desviou de Obstaculo
38,1,14:22:32,2,1,0,1,Trocou de Pista
39,1,14:22:33,2,1,0,1,Criou Obstaculo
40,1,14:22:39,2,1,1,0,Desviou de Obstaculo
41,1,14:22:41,2,1,0,0,Criou Obstaculo
42,1,14:22:46,2,1,1,1,Colidiu com Obstaculo
43,1,14:22:49,2,1,0,1,Criou Obstaculo
44,1,14:22:54,2,1,1,0,Desviou de Obstaculo
45,1,14:22:56,2,1,1,0,Trocou de Pista
46,1,14:22:56,2,1,0,1,Trocou de Pista
47,1,14:22:56,2,1,1,0,Trocou de Pista
