Sessao;Data;Hora;Fase;Nivel;Posicao jogador;Tipo de Evento
1;2023-08-07;19:07:18.093828;1;1;(-414, 39);Som Desligado
1;2023-08-07;19:07:32.573206;1;2;(-405, 293);Sair
2;2023-08-07;19:27:57.944037;1;2;(472, 205);Som Ligado
2;2023-08-07;19:28:00.574946;1;2;(-125, 595);Som Desligado
2;2023-08-07;19:28:12.352535;2;1;(-166, 656);Sair
4;2023-08-07;20:09:27.778804;2;1;(399, 628);Sair
5;2023-08-07;20:22:14.146751;2;2;(-336, 216);Sair
6;2023-08-07;20:23:43.034098;2;1;(-366, 512);Sair
7;2023-08-07;20:35:38.334032;2;1;(-351, 592);Som Ligado
7;2023-08-07;20:35:40.919464;2;1;(-372, 816);Som Desligado
7;2023-08-07;20:35:43.613936;2;1;(-373, 1013);Som Ligado
7;2023-08-07;20:36:27.378084;2;1;(517, 516);Som Desligado
7;2023-08-07;20:36:31.295132;2;1;(150, 545);Som Ligado
7;2023-08-07;20:36:43.754236;2;1;(298, 520);Sair
8;2023-08-07;20:39:26.827841;2;1;(111, 541);Som Desligado
8;2023-08-07;20:39:28.385218;2;1;(111, 541);Som Ligado
8;2023-08-07;20:40:05.289525;2;2;(387, 482);Som Desligado
8;2023-08-07;20:40:08.878989;2;2;(223, 501);Som Ligado
8;2023-08-07;20:40:16.019277;2;2;(-191, 561);Som Desligado
8;2023-08-07;20:40:19.491682;2;2;(-186, 596);Sair
9;2023-08-07;20:42:57.083874;2;2;(210, 507);Som Ligado
9;2023-08-07;20:43:02.309699;2;2;(204, 491);Som Desligado
9;2023-08-07;20:43:29.173891;2;2;(205, 201);Som Ligado
9;2023-08-07;20:43:49.993446;2;2;(210, 473);Fase Acima
9;2023-08-07;20:43:51.537473;3;2;(210, 479);Fase Acima
9;2023-08-07;20:43:53.083164;4;2;(223, 473);Fase Acima
9;2023-08-07;20:43:54.595132;5;2;(223, 473);Fase Acima
9;2023-08-07;20:43:56.106001;6;2;(223, 473);Fase Acima
9;2023-08-07;20:43:57.619149;7;2;(223, 473);Fase Acima
9;2023-08-07;20:44:09.200870;8;2;(404, 492);Som Desligado
9;2023-08-07;20:44:55.147452;8;2;(249, 517);Som Ligado
9;2023-08-07;20:45:11.794393;8;2;(-69, 509);Som Desligado
9;2023-08-07;20:45:13.346474;8;2;(-62, 503);Som Ligado
9;2023-08-07;20:45:14.894470;8;2;(-66, 515);Som Desligado
9;2023-08-07;20:45:16.585078;8;2;(-75, 510);Som Ligado
9;2023-08-07;20:45:21.258129;8;2;(-67, 526);Sair
10;2023-08-07;20:54:24.925096;1;1;(538, 284);Sair
11;2023-08-07;20:58:13.320737;2;1;(-439, 626);Sair
12;2023-08-07;21:02:03.331292;2;2;(-413, 1186);Sair
13;2023-08-07;21:05:03.855712;2;1;(-414, 1301);Sair
14;2023-08-07;21:12:53.755244;2;1;(-287, 277);Sair
15;2023-08-07;21:17:34.558803;2;2;(-381, 691);Sair
16;2023-08-07;21:22:15.708129;3;1;(-389, 17);Sair
17;2023-08-07;21:54:41.653368;1;1;(-421, 589);Sair
18;2023-08-07;21:56:52.187761;1;1;(-285, 719);Sair
19;2023-08-07;21:59:57.814452;1;1;(-350, 69);Sair
20;2023-08-07;22:02:36.572798;2;1;(339, 584);Sair
