ID;Sessao;Hora do Evento;Fase;Nivel;Posicao jogador;Posicao Evento;Tipo de Evento
0;1;21:22:07;1;1;1;1;Criou Alvo
1;1;21:22:07;1;1;0;1;Trocou de Pista
2;1;21:22:09;1;1;1;0;Trocou de Pista
3;1;21:22:15;1;1;1;0;Criou Alvo
4;1;21:22:17;1;1;1;1;Colidiu com Alvo
5;1;21:22:18;1;1;0;1;Trocou de Pista
6;1;21:22:23;1;1;0;1;Criou Alvo
7;1;21:22:25;1;1;1;0;Colidiu com Alvo
8;1;21:22:26;1;1;1;0;Trocou de Pista
9;1;21:22:31;1;1;1;2;Criou Alvo
10;1;21:22:33;1;1;1;1;Colidiu com Alvo
11;1;21:22:34;1;1;2;1;Trocou de Pista
12;1;21:22:39;1;1;2;1;Criou Alvo
13;1;21:22:41;1;1;1;2;Colidiu com Alvo
14;1;21:22:42;1;1;1;2;Trocou de Pista
15;1;21:22:42;1;1;2;1;Trocou de Pista
16;1;21:22:42;1;1;1;2;Trocou de Pista
17;1;21:22:47;1;1;1;2;Criou Alvo
18;1;21:22:49;1;1;1;1;Colidiu com Alvo
19;1;21:22:53;1;1;2;1;Trocou de Pista
20;1;21:22:55;1;1;2;1;Criou Alvo
21;1;21:22:57;1;1;1;2;Colidiu com Alvo
22;1;21:23:00;1;1;1;2;Trocou de Pista
23;1;21:23:03;1;1;1;0;Criou Alvo
24;1;21:23:05;1;1;1;1;Colidiu com Alvo
25;1;21:23:11;1;1;1;1;Criou Alvo
26;1;21:23:13;1;1;1;0;Desviou de Alvo
27;1;21:23:17;1;1;2;1;Trocou de Pista
28;1;21:23:19;1;1;2;0;Criou Alvo
29;1;21:23:21;1;1;1;1;Desviou de Alvo
30;1;21:23:23;1;1;1;2;Trocou de Pista
31;1;21:23:27;1;1;0;1;Trocou de Pista
32;1;21:23:27;1;1;0;1;Criou Alvo
33;1;21:23:29;1;1;1;0;Colidiu com Alvo
34;1;21:23:30;1;1;1;0;Trocou de Pista
35;1;21:23:36;1;1;1;0;Criou Alvo
36;1;21:23:37;1;1;1;1;Colidiu com Alvo
37;1;21:23:44;1;1;1;1;Criou Alvo
38;1;21:23:45;1;1;1;0;Desviou de Alvo
39;1;21:23:53;1;1;1;1;Colidiu com Alvo
40;1;21:24:07;1;1;1;1;Controle Jogo: Avanca Nivel
