Sessao;Data;Hora;Fase;Nivel;Posicao jogador;Tipo de Evento
1;2024-11-11;21:20:47.626085;1;1;(497, 295);Selecionou círculo
1;2024-11-11;21:20:48.133746;1;1;(497, 295);Acerto
1;2024-11-11;21:20:54.506710;1;1;(648, 385);Selecionou quadrado
1;2024-11-11;21:20:55.013371;1;1;(648, 385);Acerto
1;2024-11-11;21:21:01.706723;1;1;(123, 390);Selecionou triângulo
1;2024-11-11;21:21:02.214387;1;1;(123, 390);Acerto
1;2024-11-11;21:21:02.721916;1;1;(123, 390);Próximo nível
1;2024-11-11;21:21:09.274107;1;2;(297, 123);Selecionou retângulo
1;2024-11-11;21:21:09.780991;1;2;(297, 123);Acerto
1;2024-11-11;21:21:16.521571;1;2;(322, 122);Selecionou retângulo
1;2024-11-11;21:21:17.028960;1;2;(322, 122);Acerto
1;2024-11-11;21:21:23.945160;1;2;(314, 121);Selecionou retângulo
1;2024-11-11;21:21:24.453839;1;2;(314, 121);Acerto
1;2024-11-11;21:21:24.961897;1;2;(314, 121);Próximo nível
1;2024-11-11;21:21:47.755525;2;1;(-80, -42);Sair
